,ticker,GICS Sector,time_span,time_value,start_date
197,FITB,Financials,hour,1,3/22/2024
198,FSLR,Information Technology,hour,1,3/22/2024
199,FE,Utilities,hour,1,3/22/2024
200,FI,Financials,hour,1,3/22/2024
201,FLT,Financials,hour,1,3/22/2024
202,FMC,Materials,hour,1,3/22/2024
203,F,Consumer Discretionary,hour,1,3/22/2024
204,FTNT,Information Technology,hour,1,3/22/2024
205,FTV,Industrials,hour,1,3/22/2024
206,FOXA,Communication Services,hour,1,3/22/2024
207,FOX,Communication Services,hour,1,3/22/2024
208,BEN,Financials,hour,1,3/22/2024
209,FCX,Materials,hour,1,3/22/2024
210,GRMN,Consumer Discretionary,hour,1,3/22/2024
211,IT,Information Technology,hour,1,3/22/2024
212,GEHC,Health Care,hour,1,3/22/2024
213,GEN,Information Technology,hour,1,3/22/2024
214,GNRC,Industrials,hour,1,3/22/2024
215,GD,Industrials,hour,1,3/22/2024
216,GE,Industrials,hour,1,3/22/2024
217,GIS,Consumer Staples,hour,1,3/22/2024
218,GM,Consumer Discretionary,hour,1,3/22/2024
219,GPC,Consumer Discretionary,hour,1,3/22/2024
220,GILD,Health Care,hour,1,3/22/2024
221,GPN,Financials,hour,1,3/22/2024
222,GL,Financials,hour,1,3/22/2024
223,GS,Financials,hour,1,3/22/2024
224,HAL,Energy,hour,1,3/22/2024
225,HIG,Financials,hour,1,3/22/2024
226,HAS,Consumer Discretionary,hour,1,3/22/2024
227,HCA,Health Care,hour,1,3/22/2024
228,DOC,Real Estate,hour,1,3/22/2024
229,HSIC,Health Care,hour,1,3/22/2024
230,HSY,Consumer Staples,hour,1,3/22/2024
231,HES,Energy,hour,1,3/22/2024
232,HPE,Information Technology,hour,1,3/22/2024
233,HLT,Consumer Discretionary,hour,1,3/22/2024
234,HOLX,Health Care,hour,1,3/22/2024
235,HD,Consumer Discretionary,hour,1,3/22/2024
236,HON,Industrials,hour,1,3/22/2024
237,HRL,Consumer Staples,hour,1,3/22/2024
238,HST,Real Estate,hour,1,3/22/2024
239,HWM,Industrials,hour,1,3/22/2024
240,HPQ,Information Technology,hour,1,3/22/2024
241,HUBB,Industrials,hour,1,3/22/2024
242,HUM,Health Care,hour,1,3/22/2024
243,HBAN,Financials,hour,1,3/22/2024
244,HII,Industrials,hour,1,3/22/2024
245,IBM,Information Technology,hour,1,3/22/2024
246,IEX,Industrials,hour,1,3/22/2024
247,IDXX,Health Care,hour,1,3/22/2024
248,ITW,Industrials,hour,1,3/22/2024
249,ILMN,Health Care,hour,1,3/22/2024
250,INCY,Health Care,hour,1,3/22/2024
251,IR,Industrials,hour,1,3/22/2024
252,PODD,Health Care,hour,1,3/22/2024
253,INTC,Information Technology,hour,1,3/22/2024
254,ICE,Financials,hour,1,3/22/2024
255,IFF,Materials,hour,1,3/22/2024
256,IP,Materials,hour,1,3/22/2024
257,IPG,Communication Services,hour,1,3/22/2024
258,INTU,Information Technology,hour,1,3/22/2024
259,ISRG,Health Care,hour,1,3/22/2024
260,IVZ,Financials,hour,1,3/22/2024
261,INVH,Real Estate,hour,1,3/22/2024
